time,name,x,y,z
1625126228.8243377,c50,6.32,4.82,1.0
1625126228.9345233,c50,6.34,4.84,1.0
1625126229.026656,c50,6.32,4.89,1.0
1625126229.1339078,c50,6.32,4.84,1.0
1625126229.22495,c50,6.32,4.92,1.0
1625126229.335115,c50,6.31,4.88,1.0
1625126229.4251711,c50,6.33,4.9,1.0
1625126229.5246234,c50,6.35,4.8,1.0
1625126229.6298301,c50,6.32,4.89,1.0
1625126229.6358175,552,2.3,4.42,1.0
1625126229.703371,c50,6.33,4.93,1.0
1625126229.7949893,c50,6.33,4.95,1.0
1625126229.8866985,c50,6.33,4.98,1.0
1625126229.9768713,c50,6.35,4.82,1.0
1625126230.0793402,c50,6.34,4.93,1.0
1625126230.1752214,c50,6.33,4.86,1.0
1625126230.2751598,c50,6.34,4.84,1.0
1625126230.3787909,c50,6.33,4.84,1.0
1625126230.4228818,c58a,0.65,5.27,1.0
1625126230.4658806,c50,6.34,4.84,1.0
1625126230.5144405,c58a,-0.57,6.16,1.0
1625126230.563654,c50,6.32,4.81,1.0
1625126230.6144469,c58a,0.8,5.0,1.0
1625126230.657137,c50,6.33,4.8,1.0
1625126230.7238483,c58a,0.65,5.19,1.0
1625126230.7669456,c50,6.33,4.83,1.0
1625126230.850823,c58a,-0.13,5.01,1.0
1625126230.8964107,c50,6.32,4.83,1.0
1625126230.93565,c58a,1.02,5.12,1.0
1625126230.9813473,c50,6.33,4.87,1.0
1625126231.020139,c58a,0.65,4.93,1.0
1625126231.073316,c50,6.31,4.87,1.0
1625126231.1178966,c58a,1.08,4.99,1.0
1625126231.1767626,c50,6.3,4.91,1.0
1625126231.2186935,c58a,0.99,5.08,1.0
1625126231.2844274,c50,6.32,4.81,1.0
1625126231.3290548,c58a,0.99,5.06,1.0
1625126231.3672132,c50,6.32,4.92,1.0
1625126231.4578428,c58a,0.98,5.08,1.0
1625126231.4698102,c50,6.32,4.98,1.0
1625126231.528019,c58a,1.06,5.25,1.0
1625126231.5697598,c50,6.32,4.95,1.0
1625126231.6334736,c58a,0.89,5.23,1.0
1625126231.6808338,c50,6.3,4.96,1.0
1625126231.7617915,c58a,0.94,5.2,1.0
1625126231.764784,c50,6.3,5.04,1.0
1625126231.8181598,c58a,0.99,5.27,1.0
1625126231.855062,c8a9,2.64,4.82,1.0
1625126231.8660343,c50,6.29,4.96,1.0
